node_code;node_type;wlan_code;destination_id;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;cw;cw_stage;tpc_min(dBm);tpc_default(dBm);tpc_max(dBm);cca_min(dBm);cca_default(dBm);cca_max(dBm);tx_antenna_gain;rx_antenna_gain;channel_bonding_model;modulation_default;central_freq (GHz);lambda;ieee_protocol;traffic_load[pkt/s];bss_color;spatial_reuse_group;non_srg_obss_pd;srg_obss_pd
AP_A;0;A;-1;5;5;3;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A1;1;A;-1;2.1763;0.9381;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A2;1;A;-1;3.0458;1.4129;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A3;1;A;-1;0.7985;4.4687;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A4;1;A;-1;4.4402;3.8169;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A5;1;A;-1;1.3629;1.8363;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A6;1;A;-1;3.8992;2.0219;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A7;1;A;-1;2.158;3.896;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A8;1;A;-1;3.9791;2.9981;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A9;1;A;-1;0.5072;1.1126;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A10;1;A;-1;3.5946;0.8199;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A11;1;A;-1;1.5808;3.2116;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A12;1;A;-1;3.9059;4.2937;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A13;1;A;-1;2.3765;1.4845;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A14;1;A;-1;2.9905;1.5966;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A15;1;A;-1;2.2151;2.8611;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A16;1;A;-1;3.1017;3.6281;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A17;1;A;-1;7.0903;2.245;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A18;1;A;-1;7.7205;0.8193;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A19;1;A;-1;6.5213;2.808;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A20;1;A;-1;9.3161;3.9963;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A21;1;A;-1;6.1715;0.9449;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A22;1;A;-1;8.7595;0.5621;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A23;1;A;-1;7.434;3.4178;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A24;1;A;-1;7.6692;2.7391;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A25;1;A;-1;6.4228;0.8478;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A26;1;A;-1;7.6218;0.9038;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A27;1;A;-1;7.3697;4.1651;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A28;1;A;-1;9.1189;4.1521;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A29;1;A;-1;7.2939;0.8835;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A30;1;A;-1;8.482;2.1467;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A31;1;A;-1;5.9932;4.1404;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A32;1;A;-1;8.4312;3.0276;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A33;1;A;-1;1.9012;6.3271;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A34;1;A;-1;4.0053;6.7086;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A35;1;A;-1;2.1581;7.8322;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A36;1;A;-1;3.6939;8.2338;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A37;1;A;-1;2.367;5.929;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A38;1;A;-1;4.1779;6.0382;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A39;1;A;-1;1.9344;9.1626;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A40;1;A;-1;3.9107;8.9298;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A41;1;A;-1;0.6399;6.7243;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A42;1;A;-1;3.9261;7.4062;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A43;1;A;-1;1.1381;8.2512;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A44;1;A;-1;3.7174;7.5203;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A45;1;A;-1;2.4612;7.246;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A46;1;A;-1;3.8131;6.9238;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A47;1;A;-1;1.2761;8.8854;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A48;1;A;-1;2.7567;8.9509;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A49;1;A;-1;6.6419;7.3708;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A50;1;A;-1;8.6028;6.6395;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A51;1;A;-1;6.3208;8.172;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A52;1;A;-1;7.7529;9.4451;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A53;1;A;-1;6.3141;6.522;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A54;1;A;-1;8.9791;7.0671;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A55;1;A;-1;6.2288;9.3487;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A56;1;A;-1;7.8237;9.2848;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A57;1;A;-1;7.3201;7.4574;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A58;1;A;-1;8.2105;5.9942;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A59;1;A;-1;5.6172;8.2306;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A60;1;A;-1;8.0693;7.736;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A61;1;A;-1;7.4041;6.3686;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A62;1;A;-1;8.0483;5.9257;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A63;1;A;-1;6.5118;9.2678;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
STA_A64;1;A;-1;8.9777;7.7216;1;0;0;0;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;1;0;-82;-82
AP_B;0;B;-1;15;5;3;1;1;1;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;2;0;-82;-82
STA_B1;1;B;-1;12.3708;1.5173;1;1;1;1;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;2;0;-82;-82
STA_B2;1;B;-1;12.6487;2.0106;1;1;1;1;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;2;0;-82;-82
STA_B3;1;B;-1;10.5812;2.6929;1;1;1;1;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;2;0;-82;-82
STA_B4;1;B;-1;13.6848;3.3418;1;1;1;1;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;2;0;-82;-82
STA_B5;1;B;-1;11.8738;2.1367;1;1;1;1;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;2;0;-82;-82
STA_B6;1;B;-1;13.8061;1.807;1;1;1;1;16;5;1.0;20;20.0;-82.0;-82;-62.0;0.0;0.0;4;0;5.0;10000.0;1;10000.0;2;0;-82;-82
