Wlan code;centralized;time between requests (seconds);actions channels;actions cca (dBm);actions tx power (dBm);max_bw;reward;learning mechanism;selected_strategy
NULL;0;0;0;0;0;0;0;0;0
A;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
B;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
C;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
D;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
E;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
F;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
G;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
H;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
I;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
J;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
K;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
L;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
M;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
N;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
O;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
P;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;1
