Wlan code;centralized;time between requests (seconds);actions channels;actions cca (dBm);actions tx power (dBm);max_bw;reward;learning mechanism;selected_strategy
NULL;0;0;0;0;0;0;0;0;0
A;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
B;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
C;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
D;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
E;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
F;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
G;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
H;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
I;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
J;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
K;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
L;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
M;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
N;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
O;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
P;0;2;0,1,2,3,4,5,6,7;-82;14;1,2,4,8;6;1;7
