node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;5;0;7;15.0;-82.0;1;4166.5;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;21.6304;23.0034;0;5.25;4;5;0;7;15.0;-82.0;1;4166.5;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;24.3334;33.41;0;5.25;0;6;4;7;15.0;-82.0;1;10014.887593799464;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;27.9468;30.1014;0;5.25;0;6;4;7;15.0;-82.0;1;10014.887593799464;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;1.2151;35.6038;0;5.25;4;7;7;7;15.0;-82.0;1;6416.643275062223;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;-1.2832;35.829;0;5.25;4;7;7;7;15.0;-82.0;1;6416.643275062223;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;9.4609;27.5661;0;5.25;4;2;0;7;15.0;-82.0;1;7801.271758532233;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;8.7819;25.101;0;5.25;4;2;0;7;15.0;-82.0;1;7801.271758532233;12000;64;0;10;0.0;1;1;16;5
AP_E;0;E;37.6075;34.5653;0;5.25;0;6;0;7;15.0;-82.0;1;6393.876737750383;12000;64;0;10;0.0;1;1;16;5
STA_E1;1;E;37.8278;36.2677;0;5.25;0;6;0;7;15.0;-82.0;1;6393.876737750383;12000;64;0;10;0.0;1;1;16;5
AP_F;0;F;12.9947;4.4337;0;5.25;4;5;5;5;15.0;-82.0;1;13306.841333529232;12000;64;0;10;0.0;1;1;16;5
STA_F1;1;F;8.826;4.3682;0;5.25;4;5;5;5;15.0;-82.0;1;13306.841333529232;12000;64;0;10;0.0;1;1;16;5
AP_G;0;G;7.7553;15.4199;0;5.25;0;7;0;7;15.0;-82.0;1;8145.7910920616505;12000;64;0;10;0.0;1;1;16;5
STA_G1;1;G;11.1512;16.9456;0;5.25;0;7;0;7;15.0;-82.0;1;8145.7910920616505;12000;64;0;10;0.0;1;1;16;5
AP_H;0;H;1.5388;2.3201;0;5.25;4;0;0;0;15.0;-82.0;1;7011.04836590323;12000;64;0;10;0.0;1;1;16;5
STA_H1;1;H;5.1801;1.6846;0;5.25;4;0;0;0;15.0;-82.0;1;7011.04836590323;12000;64;0;10;0.0;1;1;16;5
AP_I;0;I;34.6246;16.9416;0;5.25;4;6;0;7;15.0;-82.0;1;7656.229091587851;12000;64;0;10;0.0;1;1;16;5
STA_I1;1;I;32.723;15.0198;0;5.25;4;6;0;7;15.0;-82.0;1;7656.229091587851;12000;64;0;10;0.0;1;1;16;5
AP_J;0;J;38.3244;6.118;0;5.25;4;4;4;4;15.0;-82.0;1;11999.716107967823;12000;64;0;10;0.0;1;1;16;5
STA_J1;1;J;38.4498;10.2409;0;5.25;4;4;4;4;15.0;-82.0;1;11999.716107967823;12000;64;0;10;0.0;1;1;16;5
