node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;5;0;7;15.0;-82.0;1;8333.0;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;23.3926;16.7748;0;5.25;4;5;0;7;15.0;-82.0;1;8333.0;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;4.4465;9.5558;0;5.25;4;5;4;5;15.0;-82.0;1;11206.128489032844;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;8.7522;8.0959;0;5.25;4;5;4;5;15.0;-82.0;1;11206.128489032844;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;34.6636;12.5139;0;5.25;0;2;0;7;15.0;-82.0;1;13685.959154639528;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;32.9768;14.8844;0;5.25;0;2;0;7;15.0;-82.0;1;13685.959154639528;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;32.4721;35.0041;0;5.25;4;4;4;7;15.0;-82.0;1;4470.928046814553;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;31.9238;38.5694;0;5.25;4;4;4;7;15.0;-82.0;1;4470.928046814553;12000;64;0;10;0.0;1;1;16;5
AP_E;0;E;11.6965;2.5171;0;5.25;0;2;2;3;15.0;-82.0;1;6019.521997075701;12000;64;0;10;0.0;1;1;16;5
STA_E1;1;E;8.7356;4.474;0;5.25;0;2;2;3;15.0;-82.0;1;6019.521997075701;12000;64;0;10;0.0;1;1;16;5
AP_F;0;F;4.8122;20.1504;0;5.25;4;0;0;7;15.0;-82.0;1;6839.791623618354;12000;64;0;10;0.0;1;1;16;5
STA_F1;1;F;0.5076;17.6075;0;5.25;4;0;0;7;15.0;-82.0;1;6839.791623618354;12000;64;0;10;0.0;1;1;16;5
AP_G;0;G;24.3537;7.4884;0;5.25;4;5;0;7;15.0;-82.0;1;9413.084342168158;12000;64;0;10;0.0;1;1;16;5
STA_G1;1;G;24.7476;3.072;0;5.25;4;5;0;7;15.0;-82.0;1;9413.084342168158;12000;64;0;10;0.0;1;1;16;5
AP_H;0;H;31.5841;23.9038;0;5.25;4;4;4;5;15.0;-82.0;1;14996.34253084767;12000;64;0;10;0.0;1;1;16;5
STA_H1;1;H;31.4332;20.0357;0;5.25;4;4;4;5;15.0;-82.0;1;14996.34253084767;12000;64;0;10;0.0;1;1;16;5
AP_I;0;I;11.9674;39.434;0;5.25;4;2;2;3;15.0;-82.0;1;5503.219268420095;12000;64;0;10;0.0;1;1;16;5
STA_I1;1;I;11.8867;42.4318;0;5.25;4;2;2;3;15.0;-82.0;1;5503.219268420095;12000;64;0;10;0.0;1;1;16;5
AP_J;0;J;0.3974;31.8214;0;5.25;0;3;3;3;15.0;-82.0;1;4684.7335859711275;12000;64;0;10;0.0;1;1;16;5
STA_J1;1;J;4.7734;32.0641;0;5.25;0;3;3;3;15.0;-82.0;1;4684.7335859711275;12000;64;0;10;0.0;1;1;16;5
