node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;1;0;7;15.0;-82.0;1;8333.0;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;17.1223;22.8775;0;5.25;4;1;0;7;15.0;-82.0;1;8333.0;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;8.8652;33.4834;0;5.25;0;4;0;7;15.0;-82.0;1;14158.463181511312;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;13.6902;34.0854;0;5.25;0;4;0;7;15.0;-82.0;1;14158.463181511312;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;38.4344;4.7988;0;5.25;4;4;0;7;15.0;-82.0;1;7363.65396564188;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;40.6413;2.2359;0;5.25;4;4;0;7;15.0;-82.0;1;7363.65396564188;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;4.5497;9.6943;0;5.25;4;6;6;7;15.0;-82.0;1;10318.93199920738;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;7.5682;7.7017;0;5.25;4;6;6;7;15.0;-82.0;1;10318.93199920738;12000;64;0;10;0.0;1;1;16;5
AP_E;0;E;0.7208;25.6766;0;5.25;0;2;0;3;15.0;-82.0;1;8195.146462065211;12000;64;0;10;0.0;1;1;16;5
STA_E1;1;E;3.9287;26.0048;0;5.25;0;2;0;3;15.0;-82.0;1;8195.146462065211;12000;64;0;10;0.0;1;1;16;5
AP_F;0;F;33.3978;39.4671;0;5.25;4;3;2;3;15.0;-82.0;1;16191.788883041629;12000;64;0;10;0.0;1;1;16;5
STA_F1;1;F;38.1565;39.0221;0;5.25;4;3;2;3;15.0;-82.0;1;16191.788883041629;12000;64;0;10;0.0;1;1;16;5
AP_G;0;G;24.8666;31.5496;0;5.25;4;1;0;3;15.0;-82.0;1;4586.951196766348;12000;64;0;10;0.0;1;1;16;5
STA_G1;1;G;26.3617;36.0045;0;5.25;4;1;0;3;15.0;-82.0;1;4586.951196766348;12000;64;0;10;0.0;1;1;16;5
AP_H;0;H;28.0494;3.1029;0;5.25;4;7;6;7;15.0;-82.0;1;9262.004997726668;12000;64;0;10;0.0;1;1;16;5
STA_H1;1;H;26.3449;2.9294;0;5.25;4;7;6;7;15.0;-82.0;1;9262.004997726668;12000;64;0;10;0.0;1;1;16;5
AP_I;0;I;37.6774;19.4936;0;5.25;0;1;0;1;15.0;-82.0;1;7969.358887628783;12000;64;0;10;0.0;1;1;16;5
STA_I1;1;I;39.5655;21.8153;0;5.25;0;1;0;1;15.0;-82.0;1;7969.358887628783;12000;64;0;10;0.0;1;1;16;5
AP_J;0;J;37.9247;30.5457;0;5.25;0;7;6;7;15.0;-82.0;1;10827.072940100768;12000;64;0;10;0.0;1;1;16;5
STA_J1;1;J;38.9052;34.9224;0;5.25;0;7;6;7;15.0;-82.0;1;10827.072940100768;12000;64;0;10;0.0;1;1;16;5
