node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;6;0;7;15.0;-82.0;1;833.3;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;22.3516;17.751;0;5.25;4;6;0;7;15.0;-82.0;1;833.3;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;32.0299;21.3487;0;5.25;4;7;0;7;15.0;-82.0;1;9476.787243845172;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;31.8987;25.0615;0;5.25;4;7;0;7;15.0;-82.0;1;9476.787243845172;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;0.483;7.0084;0;5.25;4;3;3;3;15.0;-82.0;1;8921.402710999311;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;-2.5037;8.9697;0;5.25;4;3;3;3;15.0;-82.0;1;8921.402710999311;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;19.6276;35.2415;0;5.25;0;5;0;7;15.0;-82.0;1;15682.189319490533;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;24.1986;37.1665;0;5.25;0;5;0;7;15.0;-82.0;1;15682.189319490533;12000;64;0;10;0.0;1;1;16;5
AP_E;0;E;20.664;1.2912;0;5.25;4;6;6;7;15.0;-82.0;1;8372.880080371178;12000;64;0;10;0.0;1;1;16;5
STA_E1;1;E;19.0521;-0.099;0;5.25;4;6;6;7;15.0;-82.0;1;8372.880080371178;12000;64;0;10;0.0;1;1;16;5
AP_F;0;F;1.2501;36.7523;0;5.25;4;2;2;3;15.0;-82.0;1;1564.106476235803;12000;64;0;10;0.0;1;1;16;5
STA_F1;1;F;3.7397;36.4194;0;5.25;4;2;2;3;15.0;-82.0;1;1564.106476235803;12000;64;0;10;0.0;1;1;16;5
AP_G;0;G;6.0321;24.2766;0;5.25;0;3;0;7;15.0;-82.0;1;8266.484425284483;12000;64;0;10;0.0;1;1;16;5
STA_G1;1;G;10.1233;26.7753;0;5.25;0;3;0;7;15.0;-82.0;1;8266.484425284483;12000;64;0;10;0.0;1;1;16;5
AP_H;0;H;29.1923;8.4646;0;5.25;4;2;0;7;15.0;-82.0;1;8155.325494126405;12000;64;0;10;0.0;1;1;16;5
STA_H1;1;H;26.3556;6.103;0;5.25;4;2;0;7;15.0;-82.0;1;8155.325494126405;12000;64;0;10;0.0;1;1;16;5
AP_I;0;I;37.0415;0.7571;0;5.25;0;7;7;7;15.0;-82.0;1;7899.716646194624;12000;64;0;10;0.0;1;1;16;5
STA_I1;1;I;33.2254;2.4285;0;5.25;0;7;7;7;15.0;-82.0;1;7899.716646194624;12000;64;0;10;0.0;1;1;16;5
AP_J;0;J;38.9905;11.9388;0;5.25;0;0;0;3;15.0;-82.0;1;13851.722883119435;12000;64;0;10;0.0;1;1;16;5
STA_J1;1;J;40.0743;8.1601;0;5.25;0;0;0;3;15.0;-82.0;1;13851.722883119435;12000;64;0;10;0.0;1;1;16;5
