node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;0;0;7;15;-82;1;8333;12000;64;0;10;0;1;1;16;5
STA_A1;1;A;21.1686;22.1491;0;5.25;4;0;0;7;15;-82;1;8333;12000;64;0;10;0;1;1;16;5
AP_B;0;B;37.5071;13.5976;0;5.25;0;6;0;7;15;-82;1;6526.1931237426;12000;64;0;10;0;1;1;16;5
STA_B1;1;B;36.6007;8.9658;0;5.25;0;6;0;7;15;-82;1;6526.1931237426;12000;64;0;10;0;1;1;16;5
AP_C;0;C;16.4329;3.529;0;5.25;0;6;4;7;15;-82;1;11902.6834026235;12000;64;0;10;0;1;1;16;5
STA_C1;1;C;16.0346;4.6396;0;5.25;0;6;4;7;15;-82;1;11902.6834026235;12000;64;0;10;0;1;1;16;5
AP_D;0;D;32.3083;32.1396;0;5.25;4;4;4;4;15;-82;1;16596.6642864014;12000;64;0;10;0;1;1;16;5
STA_D1;1;D;35.8317;30.6169;0;5.25;4;4;4;4;15;-82;1;16596.6642864014;12000;64;0;10;0;1;1;16;5
AP_E;0;E;7.4008;16.6262;0;5.25;0;5;4;5;15;-82;1;14894.4221408187;12000;64;0;10;0;1;1;16;5
STA_E1;1;E;6.0217;12.1378;0;5.25;0;5;4;5;15;-82;1;14894.4221408187;12000;64;0;10;0;1;1;16;5
AP_F;0;F;18.4285;33.71;0;5.25;0;2;0;7;15;-82;1;13788.9101092087;12000;64;0;10;0;1;1;16;5
STA_F1;1;F;19.2888;38.0125;0;5.25;0;2;0;7;15;-82;1;13788.9101092087;12000;64;0;10;0;1;1;16;5
AP_G;0;G;7.725;30.1352;0;5.25;0;4;4;7;15;-82;1;16298.817875585;12000;64;0;10;0;1;1;16;5
STA_G1;1;G;6.5363;33.7829;0;5.25;0;4;4;7;15;-82;1;16298.817875585;12000;64;0;10;0;1;1;16;5
AP_H;0;H;33.7931;2.1224;0;5.25;0;6;4;7;15;-82;1;11800.0150574156;12000;64;0;10;0;1;1;16;5
STA_H1;1;H;37.2157;3.8242;0;5.25;0;6;4;7;15;-82;1;11800.0150574156;12000;64;0;10;0;1;1;16;5
AP_I;0;I;6.7878;0.6659;0;5.25;4;0;0;7;15;-82;1;12909.3643159772;12000;64;0;10;0;1;1;16;5
STA_I1;1;I;4.4772;3.2937;0;5.25;4;0;0;7;15;-82;1;12909.3643159772;12000;64;0;10;0;1;1;16;5
AP_J;0;J;26.087;11.4563;0;5.25;4;5;4;7;15;-82;1;16010.0886751406;12000;64;0;10;0;1;1;16;5
STA_J1;1;J;30.0221;9.8801;0;5.25;4;5;4;7;15;-82;1;16010.0886751406;12000;64;0;10;0;1;1;16;5
