node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;3;0;7;15;-82;1;8333;12000;64;0;10;0;1;1;16;5
STA_A1;1;A;19.8581;23.279;0;5.25;4;3;0;7;15;-82;1;8333;12000;64;0;10;0;1;1;16;5
AP_B;0;B;11.6642;7.7745;0;5.25;0;3;0;7;15;-82;1;14246.8866370366;12000;64;0;10;0;1;1;16;5
STA_B1;1;B;13.5964;3.3134;0;5.25;0;3;0;7;15;-82;1;14246.8866370366;12000;64;0;10;0;1;1;16;5
AP_C;0;C;25.6234;4.6082;0;5.25;0;5;4;5;15;-82;1;13689.0682292859;12000;64;0;10;0;1;1;16;5
STA_C1;1;C;22.9242;7.8677;0;5.25;0;5;4;5;15;-82;1;13689.0682292859;12000;64;0;10;0;1;1;16;5
AP_D;0;D;7.9173;33.6508;0;5.25;0;0;0;0;15;-82;1;12652.2477098474;12000;64;0;10;0;1;1;16;5
STA_D1;1;D;5.674;33.5337;0;5.25;0;0;0;0;15;-82;1;12652.2477098474;12000;64;0;10;0;1;1;16;5
AP_E;0;E;33.8134;33.6095;0;5.25;0;1;0;7;15;-82;1;13669.6467040308;12000;64;0;10;0;1;1;16;5
STA_E1;1;E;30.056;31.7566;0;5.25;0;1;0;7;15;-82;1;13669.6467040308;12000;64;0;10;0;1;1;16;5
AP_F;0;F;34.4946;11.3085;0;5.25;0;2;0;7;15;-82;1;9361.9150511886;12000;64;0;10;0;1;1;16;5
STA_F1;1;F;32.1673;12.643;0;5.25;0;2;0;7;15;-82;1;9361.9150511886;12000;64;0;10;0;1;1;16;5
AP_G;0;G;21.8614;33.4652;0;5.25;0;4;4;7;15;-82;1;10847.0121973897;12000;64;0;10;0;1;1;16;5
STA_G1;1;G;19.102;35.8474;0;5.25;0;4;4;7;15;-82;1;10847.0121973897;12000;64;0;10;0;1;1;16;5
AP_H;0;H;2.302;16.9564;0;5.25;4;7;4;7;15;-82;1;7833.0734426638;12000;64;0;10;0;1;1;16;5
STA_H1;1;H;4.7263;18.3422;0;5.25;4;7;4;7;15;-82;1;7833.0734426638;12000;64;0;10;0;1;1;16;5
AP_I;0;I;3.6232;0.6116;0;5.25;4;4;4;5;15;-82;1;6102.3045268698;12000;64;0;10;0;1;1;16;5
STA_I1;1;I;1.9331;2.3246;0;5.25;4;4;4;5;15;-82;1;6102.3045268698;12000;64;0;10;0;1;1;16;5
AP_J;0;J;37.7729;21.5641;0;5.25;0;7;0;7;15;-82;1;5377.2382650559;12000;64;0;10;0;1;1;16;5
STA_J1;1;J;34.2447;18.6813;0;5.25;0;7;0;7;15;-82;1;5377.2382650559;12000;64;0;10;0;1;1;16;5
