node_code;node_type;wlan_code;destination_id;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;cw;cw_stage;tpc_min(dBm);tpc_default(dBm);tpc_max(dBm);cca_min(dBm);cca_default(dBm);cca_max(dBm);tx_antenna_gain;rx_antenna_gain;channel_bonding_model;modulation_default;central_freq (GHz);lambda;ieee_protocol;traffic_load[pkt/s];bss_color;spatial_reuse_group;obss_pd;srg_obss_pd;non_srg_obss_pd
AP_A;0;A;-1;5;5;2;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;0;-1;-79;-82;-82
STA_A1;1;A;-1;5;5;4;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;0;-1;-79;-82;-82
AP_B;0;B;-1;2;2;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;1;-1;-79;-82;-82
STA_B1;1;B;-1;0;0;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;1;-1;-79;-82;-82
AP_C;0;C;-1;2;8;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;2;-1;-79;-82;-82
STA_C1;1;C;-1;0;10;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;2;-1;-79;-82;-82
AP_D;0;D;-1;8;2;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;3;-1;-79;-82;-82
STA_D1;1;D;-1;10;0;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;3;-1;-79;-82;-82
AP_E;0;E;-1;8;8;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;4;-1;-79;-82;-82
STA_E1;1;E;-1;10;10;0;0;0;0;16;5;20.0;20;20.0;-82.0;-82;-82.0;0.0;0.0;4;0;5.0;10000.0;1;1000.0;4;-1;-79;-82;-82
