0.000000000000000000;A0;B00; Start()
0.000000000000000;A0;F00; ComputeNewConfiguration()
1.000000000000000;A0;F00; RequestInformationToAp() (request #0)
1.000000000000000;A0;F00; InportReceivingInformationFromAp()
1.000000000000000;A0;C03;  - Action (0):
1.000000000000000;A0;C03;    · channel = 0
1.000000000000000;A0;C03;    · cca = -82.000000 dBm
1.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
1.000000000000000;A0;C03;    · dcb_policy = 4
1.000000000000000;A0;C03;  - Performance:
1.000000000000000;A0;C03;    · Average throughput = 82.94 Mbps
1.000000000000000;A0;F00; ComputeNewConfiguration()
1.000000000000000;A0;F00; SendNewConfigurationToAp()
1.000000000000000;A0;C00;  - Next request to be sent at 2.000000
2.000000000000000;A0;F00; RequestInformationToAp() (request #1)
2.000000000000000;A0;F00; InportReceivingInformationFromAp()
2.000000000000000;A0;C03;  - Action (2):
2.000000000000000;A0;C03;    · channel = 2
2.000000000000000;A0;C03;    · cca = -82.000000 dBm
2.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
2.000000000000000;A0;C03;    · dcb_policy = 4
2.000000000000000;A0;C03;  - Performance:
2.000000000000000;A0;C03;    · Average throughput = 43.78 Mbps
2.000000000000000;A0;F00; ComputeNewConfiguration()
2.000000000000000;A0;F00; SendNewConfigurationToAp()
2.000000000000000;A0;C00;  - Next request to be sent at 3.000000
3.000000000000000;A0;F00; RequestInformationToAp() (request #2)
3.000000000000000;A0;F00; InportReceivingInformationFromAp()
3.000000000000000;A0;C03;  - Action (3):
3.000000000000000;A0;C03;    · channel = 3
3.000000000000000;A0;C03;    · cca = -82.000000 dBm
3.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
3.000000000000000;A0;C03;    · dcb_policy = 4
3.000000000000000;A0;C03;  - Performance:
3.000000000000000;A0;C03;    · Average throughput = 62.98 Mbps
3.000000000000000;A0;F00; ComputeNewConfiguration()
3.000000000000000;A0;F00; SendNewConfigurationToAp()
3.000000000000000;A0;C00;  - Next request to be sent at 4.000000
4.000000000000000;A0;F00; RequestInformationToAp() (request #3)
4.000000000000000;A0;F00; InportReceivingInformationFromAp()
4.000000000000000;A0;C03;  - Action (4):
4.000000000000000;A0;C03;    · channel = 4
4.000000000000000;A0;C03;    · cca = -82.000000 dBm
4.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
4.000000000000000;A0;C03;    · dcb_policy = 4
4.000000000000000;A0;C03;  - Performance:
4.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
4.000000000000000;A0;F00; ComputeNewConfiguration()
4.000000000000000;A0;F00; SendNewConfigurationToAp()
4.000000000000000;A0;C00;  - Next request to be sent at 5.000000
5.000000000000000;A0;F00; RequestInformationToAp() (request #4)
5.000000000000000;A0;F00; InportReceivingInformationFromAp()
5.000000000000000;A0;C03;  - Action (4):
5.000000000000000;A0;C03;    · channel = 4
5.000000000000000;A0;C03;    · cca = -82.000000 dBm
5.000000000000000;A0;C03;    · tx_power = 15.000000 dBm
5.000000000000000;A0;C03;    · dcb_policy = 4
5.000000000000000;A0;C03;  - Performance:
5.000000000000000;A0;C03;    · Average throughput = 110.66 Mbps
5.000000000000000;A0;F00; ComputeNewConfiguration()
5.000000000000000;A0;F00; SendNewConfigurationToAp()
5.000000000000000;A0;C00;  - Next request to be sent at 6.000000
6.000000000000000;A0;F00; RequestInformationToAp() (request #5)
6.000000000000000;A0;F00; InportReceivingInformationFromAp()
6.000000000000000;A0;C03;  - Action (0):
6.000000000000000;A0;C03;    · channel = 0
6.000000000000000;A0;C03;    · cca = -82.000000 dBm
