0.000000;N2;S-1;B00; Start()
0.000000;N2;S0;Z00;    · Node AP_B info:
0.000000;N2;S0;Z00;    · - node_id = 2
0.000000;N2;S0;Z00;    · - node_type = 0
0.000000;N2;S0;Z00;    · - position = (700, 0, 0)
0.000000;N2;S0;Z00;    · - primary_channel = 0
0.000000;N2;S0;Z00;    · - min_channel_allowed = 0
0.000000;N2;S0;Z00;    · - max_channel_allowed = 0
0.000000;N2;S0;Z00;    · - channel_bonding_model = 4
0.000000;N2;S0;Z00;    · WLAN B:
0.000000;N2;S0;Z00;    · - wlan_id: 1
0.000000;N2;S0;Z00;    · - num_stas: 1
0.000000;N2;S0;Z00;    · - ap_id: 2
0.000000;N2;S0;Z00;    · - list of STAs IDs: 3  
0.000000;N2;S0;Z00;    · - lambda = 14814.814815 packets/s
0.000000;N2;S0;Z00;    · - CW_min = 16
0.000000;N2;S0;Z00;    · - CW_max = 1024
0.000000;N2;S0;Z00;    · - destination_id = -1
0.000000;N2;S0;Z00;    · - tpc_default = 15.000000 dBm
0.000000;N2;S0;Z00;    · - cca_default = -82.000000 dBm
0.000064;N2;S0;F00; endBackoff()
0.000064;N2;S0;G00; requestMCS()
0.000064;N2;S0;F00; inportMCSResponseReceived()
0.000064;N2;S0;F00;  - MCS per number of channels: 4 3 2 1 
0.000064;N2;S0;G00; selectDestination()
0.000064;N2;S0;G00;  - Selected destination: N3
-inf  -inf  -inf  -inf  -inf  -inf  -inf  -inf  
0.000064;N2;S0;F02;  - Channels free: 1 0 0 0 0 0 0 0 
0.000064;N2;S0;F02;  - Channels for transmitting: 1  0  0  0  0  0  0  0  
0.000064;N2;S6;F04;    · Transmission is possible in range: 0 - 0
0.000064;N2;S6;Z01;    · Data rate (0 channels and modulation 4): 16.500000 Mbps
0.000064;N2;S6;Z01;    · Computed TX duration: 0.257748 s
0.000064;N2;S6;Z01;    · Data rate (0 channels and modulation 4): 16.500000 Mbps
0.000064;N2;S6;Z01;    · Computed TX duration: 0.000004 s
0.000064;N2;S6;Z01;    · Data rate (0 channels and modulation 4): 16.500000 Mbps
0.000064;N2;S6;Z01;    · Computed TX duration: 0.000007 s
0.000064;N2;S6;Z01;    · Data rate (0 channels and modulation 4): 16.500000 Mbps
0.000064;N2;S6;Z01;    · Computed TX duration: 0.000005 s
0.000064;N2;S6;F04;       + Setting NAV time to 0.257811
0.000064;N2;S6;F04;    · Transmission of RTS #0 started
0.000064;N2;S6;D00; inportSomeNodeStartTX(): N2 to N3
0.000064;N2;S6;E00;  - List of nodes transmitting: N2 
0.000064;N2;S6;D02;  - I have started a TX of packet #0 (type 4) to N3 in channels 0 - 0
0.000064;N2;S6;D02;    · DIFS: active = 0, t_DIFS = -0.000064 - backoff: active = 0 - t_back = 0.000000
0.000071;N2;S6;G00; myTXFinished()
0.000071;N2;S6;E00; inportSomeNodeFinishTX(): N2 to N3
0.000071;N2;S6;E00;  - List of nodes transmitting: 
0.000071;N2;S6;E18;  - I have finished the TX of packet #0 (type 4) in channel range: 0 - 0
0.000071;N2;S10;G00;  - RTS tx finished. Waiting for CTS...
0.000087;N2;S10;D00; inportSomeNodeStartTX(): N3 to N2
0.000087;N2;S10;E00;  - List of nodes transmitting: N3 
0.000087;N2;S10;D02;  - N3 has started a TX of packet #0 (type 5) to N2 in channels 0 - 0
0.000087;N2;S10;E04;    · Increasing channel power sensed
0.000087;N2;S10;D04;       + Distance to transmitting node N3: 200.000000 m
0.000087;N2;S10;D04;       + Power received from N3: = -71.024825 dBm (78.980072 pW)
0.000087;N2;S10;D03;       + Pre update channel state [dBm]: -inf  -inf  -inf  -inf  -inf  -inf  -inf  -inf  
0.000087;N2;S10;D06;          * Power to sum or subtract [dBm]: -71.024825 -inf -inf -inf -inf -inf -inf -inf 
