0.000000;N3;S-1;B00; Start()
0.000000;N3;S0;Z00;    · Node STA_B1 info:
0.000000;N3;S0;Z00;    · - node_id = 3
0.000000;N3;S0;Z00;    · - node_type = 1
0.000000;N3;S0;Z00;    · - position = (900, 0, 0)
0.000000;N3;S0;Z00;    · - primary_channel = 0
0.000000;N3;S0;Z00;    · - min_channel_allowed = 0
0.000000;N3;S0;Z00;    · - max_channel_allowed = 0
0.000000;N3;S0;Z00;    · - channel_bonding_model = 4
0.000000;N3;S0;Z00;    · WLAN B:
0.000000;N3;S0;Z00;    · - wlan_id: 1
0.000000;N3;S0;Z00;    · - num_stas: 1
0.000000;N3;S0;Z00;    · - ap_id: 2
0.000000;N3;S0;Z00;    · - list of STAs IDs: 3  
0.000000;N3;S0;Z00;    · - lambda = 14814.814815 packets/s
0.000000;N3;S0;Z00;    · - CW_min = 16
0.000000;N3;S0;Z00;    · - CW_max = 1024
0.000000;N3;S0;Z00;    · - destination_id = -1
0.000000;N3;S0;Z00;    · - tpc_default = 15.000000 dBm
0.000000;N3;S0;Z00;    · - cca_default = -82.000000 dBm
0.000064;N3;S0;F00; MCS request received from 2
0.000064;N3;S0;F00;       + Power received of interest (0 channels) = -71.024825 dBm
0.000064;N3;S0;F00;          * mcs_response[0] = 4
0.000064;N3;S0;F00;       + Power received of interest (1 channels) = -74.024825 dBm
0.000064;N3;S0;F00;          * mcs_response[1] = 3
0.000064;N3;S0;F00;       + Power received of interest (2 channels) = -77.024825 dBm
0.000064;N3;S0;F00;          * mcs_response[2] = 2
0.000064;N3;S0;F00;       + Power received of interest (3 channels) = -80.024825 dBm
0.000064;N3;S0;F00;          * mcs_response[3] = 1
0.000064;N3;S0;F00; Answering MCS
0.000064;N3;S0;D00; inportSomeNodeStartTX(): N2 to N3
0.000064;N3;S0;E00;  - List of nodes transmitting: N2 
0.000064;N3;S0;D02;  - N2 has started a TX of packet #0 (type 4) to N3 in channels 0 - 0
0.000064;N3;S0;E04;    · Increasing channel power sensed
0.000064;N3;S0;D04;       + Distance to transmitting node N2: 200.000000 m
0.000064;N3;S0;D04;       + Power received from N2: = -71.024825 dBm (78.980072 pW)
