0.000000;N2;S-1;B00; Start()
0.000000;N2;S0;Z00;  - Node info:
0.000000;N2;S0;Z00;    · position = (0, 0, 1000)
0.000000;N2;S0;Z00;    · primary_channel = 0
0.000000;N2;S0;Z00;    · min_channel_allowed = 0
0.000000;N2;S0;Z00;    · max_channel_allowed = 0
0.000000;N2;S0;Z00;    · lambda = 14814.814815 packets/s
0.000000;N2;S0;Z00;    · channel_bonding_model = 4
0.000000;N2;S0;Z00;    · destination_id = 1
0.000000;N2;S0;Z00;    · tpc_default = 35.000000 dBm
0.000000;N2;S0;Z00;    · cca_default = -82.000000 dBm
0.000000;N2;S0;F00;  - Resuming backoff at 0.000047 s
0.000047;N2;S0;F00; endBackoff()
0.000047;N2;S1;F02;  - Channels for transmitting: 1  0  0  0  
0.000047;N2;S1;Z01;    · Computed TX duration: 0.031345 s
0.000047;N2;S1;F04;    · Transmission is possible in range: 0 - 0
0.000047;N2;S1;F04;    · Transmission of packet #0 started
0.000047;N2;S1;D00; inportSomeNodeStartTX(): source = 2 - destination = 1
0.000047;N2;S1;D02;  - I have started a TX to N1 in channels 0 - 0
0.000054;N2;S1;H00; inportNackReceived(): source = 1 - node_id_a = 2 - node_id_b = -1
0.000054;N2;S1;H00;  - NACK of packet #0 received from N1 sent to a) N2 and b) N-1 with reason 2
0.000054;N2;S1;H02;  - I am implied in the NACK with packet id #0
0.000054;N2;S1;H02;  - Interference sensed in destination 1 is greater than its CCA!
0.000054;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.000054;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.000054;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.000054;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.000054;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.000054;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.000054;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.000054;N2;S1;D08;    · I am NOT the TX destination (N3)
0.000516;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.000516;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.000516;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.000516;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.000516;N2;S1;E13;    · I am TXing. Do nothing.
0.000795;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.000795;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.000795;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.000795;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.000795;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.000795;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.000795;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.000795;N2;S1;D08;    · I am NOT the TX destination (N3)
0.010509;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.010509;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
0.010509;N2;S1;E04;    · Pre update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.010509;N2;S1;E05;    · Post update channel state [dBm]: -inf  -inf  -inf  -inf  
0.010509;N2;S1;E13;    · I am TXing. Do nothing.
0.010533;N2;S1;D00; inportSomeNodeStartTX(): source = 0 - destination = 3
0.010533;N2;S1;D02;  - N0 has started a TX to N3 in channels 1 - 1
0.010533;N2;S1;D04;    · Distance to transmitting node N0: 1050.000000 m
0.010533;N2;S1;D04;    · Power received from N0: = -85.475794 dBm (2.834135 pW)
0.010533;N2;S1;D03;    · Pre update channel state [dBm]: -inf  -inf  -inf  -inf  
0.010533;N2;S1;D06;    · Post update channel state [dBm]: -105.475794  -85.475794  -105.475794  -125.475794  
0.010533;N2;S1;D17;       + Max power interference is -105.475794 dBm (0.028341 pW) sensed in channel #0
0.010533;N2;S1;D08;    · I am NOT the TX destination (N3)
0.020140;N2;S1;E00; inportSomeNodeFinishTX(): source = 0 - destination = 3
0.020140;N2;S1;E02;  - N0 has finished a TX in channel range: 1 - 1
